DW_DELL_ACCT_ID,RPTG_SLS_MGMT_LVL_1,DELL_INDUSTRY_TAXONOMY_L1,ORG_USER_DEFINED_VALUE_113,emp_size,buy_power,decision_maker,category
2035575106,Greater China,Manufacturing,T3,300,142049,0,Low
2123006830,APJ,"Business, Engineering & Consumer Services",T2,6000,370000,0,Low
1724004679,LA,Manufacturing,T1,300,1002700,0,Low
3313310802,EMEA,Retail,T5,110,43233.091,0,Low
3549459991,CSB,Agriculture,T5,1,42287,0,Low
2441213083,LA,Manufacturing,T1,700,320200,1,Low
1702753431,EMEA,Transportation,T1,1491,988150.61,1,Low
2429123418,APJ,"Business, Engineering & Consumer Services",T3,168,176566.994,1,Low
1706711833,EMEA,Agriculture,T5,100,134226,0,Low
1702747687,EMEA,Manufacturing,T1,4500,2802400,1,Low
2459494796,NAMERICA,Energy,T1,200,7551371.78,1,Low
3411651423,EMEA,Healthcare & Life Sciences,T3,4126,153000,0,Low
2434527524,CSB,"Banking, Financial Services & Insurance",T5,14,129011,1,Low
2434930596,NAMERICA,Web & Tech,T5,110,72104,0,Low
595661813,NAMERICA,Education,T5,175,87368.96,1,Low
2224793157,NAMERICA,"Business, Engineering & Consumer Services",T3,16,59473.574,1,Low
3379915760,NAMERICA,Manufacturing,T5,20,16243.528,0,Low
3559094651,CSB,Transportation,T5,1,173459,0,Low
3552169071,CSB,Agriculture,T5,21,170474,1,Low
1703247562,EMEA,"Business, Engineering & Consumer Services",T1,825,873856.544,1,Low
3075531888,NAMERICA,"Business, Engineering & Consumer Services",T4,771,139821.98,0,Low
2956765832,NAMERICA,"Telecom, Media & Entertainment",T5,5,56004.801,1,Low
2856012321,APJ,Retail,T3,7772,408316,1,Low
3522958208,EMEA,Agriculture,T5,2097,4343290,1,Low
1724010704,LA,Manufacturing,T3,150,222200,0,Low
3585873656,CSB,Retail,T5,1,47188,0,Low
2704325899,APJ,Education,T5,20,7288694,0,Low
3363765044,APJ,Retail,T3,888,25884.798,0,Low
2441274650,CSB,Agriculture,T5,7,106067,1,Low
2888022938,Greater China,Retail,T2,500,46236,1,Low
2122986504,APJ,"Banking, Financial Services & Insurance",T2,31443,5300000,1,Low
2443001332,LA,Manufacturing,T3,550,50600,0,Low
3409197208,Greater China,"Business, Engineering & Consumer Services",T1,300,1384722,1,Low
3023318815,CSB,Retail,T5,20,49912,1,Low
3464025248,EMEA,"Business, Engineering & Consumer Services",T5,9950,47897,1,Low
2434058462,CSB,Transportation,T5,40,68880,1,Low
1706965849,EMEA,Agriculture,T3,250,363373.45,1,Low
1766502885,EMEA,Agriculture,T3,2,36600,0,Low
3371669884,EMEA,Manufacturing,T3,136,157435.95,1,Low
1702717755,EMEA,Retail,T1,528,825000,1,Low
2489769508,NAMERICA,Education,T5,103,17661.999,0,Low
3585900641,EMEA,Agriculture,T5,973,104108,1,Low
595684273,NAMERICA,Education,T2,2300,808422.276,1,Low
1723999760,LA,"Telecom, Media & Entertainment",T3,4733,1010000,0,Low
2001093659,NAMERICA,"Banking, Financial Services & Insurance",T1,875,2339300,1,Low
3366950614,EMEA,Agriculture,T1,254,4063348,1,Low
3477907800,EMEA,Education,T3,9134,23697.02,0,Low
3508810823,EMEA,"Business, Engineering & Consumer Services",T5,110,80000,1,Low
2122760218,APJ,"Business, Engineering & Consumer Services",T3,140,102158,0,Low
3409217520,CSB,Agriculture,T5,7,467353,1,Low
595714916,NAMERICA,Government,T1,26374,7338700,1,Low
3322221633,LA,Education,T3,200,28582.075,0,Low
2737955776,EMEA,Agriculture,T5,22,192110,1,Low
3586687211,CSB,"Business, Engineering & Consumer Services",T5,16,14525,0,Low
3552432668,EMEA,Retail,T3,3685,71971.502,1,Low
1703202502,EMEA,"Business, Engineering & Consumer Services",T1,1500,6352741.391,1,Low
595664230,NAMERICA,Education,T4,44,114108.6,0,Low
3493842534,NAMERICA,Agriculture,T2,8,33602.531,0,Low
2224811495,NAMERICA,Manufacturing,T3,125,281740,0,Low
2067667445,EMEA,Education,T5,1,35593.923,1,Low
2459399737,APJ,"Business, Engineering & Consumer Services",T3,120,102840.54,0,Low
3585010173,NAMERICA,"Business, Engineering & Consumer Services",T5,5,111264,0,Low
595708972,NAMERICA,Government,T1,75,1219447.29,0,Low
2660930034,APJ,"Telecom, Media & Entertainment",T1,3000,768000,0,Low
2224793946,NAMERICA,Construction & Real Estate,T5,150,103832.726,0,Low
3389776827,CSB,Manufacturing,T5,29,4628658,1,Low
1702669619,EMEA,"Business, Engineering & Consumer Services",T1,1278,1050000,0,Low
2434936403,NAMERICA,Healthcare & Life Sciences,T1,6,1380153.648,1,Low
3585246018,CSB,Manufacturing,T5,35,172292,0,Low
1706466700,EMEA,Government,T1,3000,32119,1,Low
2224785209,NAMERICA,"Business, Engineering & Consumer Services",T3,82,431384,1,Low
1727176062,EMEA,"Banking, Financial Services & Insurance",T1,5052,93920,1,Low
595719073,NAMERICA,Government,T1,1200,491700.001,0,Low
3460114771,EMEA,Agriculture,T3,3283,220742,1,Low
3382054289,CSB,Transportation,T5,21,6387707,0,Low
3475296039,CSB,"Business, Engineering & Consumer Services",T5,50,184621,1,Low
3585897638,APJ,Retail,T5,50,57669,0,Low
3539635611,APJ,Web & Tech,T2,85,211900,1,Low
1703184710,EMEA,"Banking, Financial Services & Insurance",T1,400,895963.786,0,Low
2434637191,NAMERICA,"Business, Engineering & Consumer Services",T5,209,41651.668,0,Low
1806176266,EMEA,Retail,T2,7,260000,0,Low
1702667893,EMEA,Manufacturing,T1,2770,1300600,1,Low
3298087470,LA,"Business, Engineering & Consumer Services",T1,7450,72556,0,Low
3586683832,CSB,Agriculture,T5,20,161241,1,Low
3579304248,APJ,Manufacturing,T5,244,172200,1,Low
3536620187,CSB,"Banking, Financial Services & Insurance",T5,52,3594829,1,Low
1702730956,EMEA,Manufacturing,T3,615,364652.465,1,Low
3578783743,Greater China,Manufacturing,T3,100,92310,1,Low
3391178194,APJ,Agriculture,T5,133,198000,0,Low
2122608160,APJ,Retail,T3,8,26175.913,0,Low
3313678063,CSB,Web & Tech,T5,1736,1828083,1,Low
3358587598,CSB,Manufacturing,T5,66,13864,0,Low
3586049717,CSB,Retail,T5,40,188028,1,Low
2889611424,NAMERICA,"Telecom, Media & Entertainment",T5,34,20565.829,1,Low
3464893867,CSB,"Business, Engineering & Consumer Services",T5,35,167828,0,Low
1724079632,LA,"Banking, Financial Services & Insurance",T1,11354,70971,0,Low
595710083,NAMERICA,Government,T1,9231,1926600,0,Low
2613873805,CSB,Healthcare & Life Sciences,T5,17,64173,1,Low
3399001520,EMEA,"Banking, Financial Services & Insurance",T2,15,850000,0,Low
2122627855,APJ,"Banking, Financial Services & Insurance",T1,2000,3150784.547,0,Low
1724018135,LA,Government,T1,750,404192.756,0,Low
1703144302,EMEA,Manufacturing,T1,230,1896231.45,0,Low
3317484090,Greater China,Manufacturing,T1,100,859341,0,Low
1703115966,EMEA,Manufacturing,T3,100,403406.86,1,Low
595685737,NAMERICA,Education,T1,50,1032948.305,0,Low
2434643302,NAMERICA,"Business, Engineering & Consumer Services",T5,103,79159.265,1,Low
2224690609,NAMERICA,"Banking, Financial Services & Insurance",T5,32,71067.325,1,Low
2224742829,NAMERICA,Retail,T1,788,859300,1,Low
2854590541,NAMERICA,Healthcare & Life Sciences,T4,95,122558.021,1,Low
3513613526,CSB,Retail,T5,2,14586,1,Low
2515621681,APJ,Healthcare & Life Sciences,T3,200,570379,1,Low
2123002567,Greater China,"Business, Engineering & Consumer Services",T2,1084,55100,0,Low
3383913581,Greater China,Manufacturing,T1,1647,1224206,0,Low
3548744970,NAMERICA,Education,T5,54,58102,1,Low
3531692184,CSB,Agriculture,T5,4,46185,1,Low
1705324708,EMEA,Agriculture,T3,500,63000,0,Low
1939135534,APJ,Manufacturing,T2,1035,216694.539,0,Low
931393290,NAMERICA,"Business, Engineering & Consumer Services",T1,17,681772.5,1,Low
2037209461,Greater China,Manufacturing,T2,300,52669,0,Low
1703089449,EMEA,Government,T1,4,1011000,1,Low
3342706224,CSB,"Business, Engineering & Consumer Services",T5,25,15145,1,Low
2539087090,NAMERICA,Government,T5,40,5878678,1,Low
1940260049,APJ,"Business, Engineering & Consumer Services",T5,73,82615,0,Low
3339913985,NAMERICA,Agriculture,T5,3750,76193.13,0,Low
3400233714,EMEA,"Banking, Financial Services & Insurance",T3,1,163173.184,1,Low
1704587674,EMEA,"Banking, Financial Services & Insurance",T1,8779,125418,0,Low
3586930787,CSB,Agriculture,T5,30,29142,0,Low
3382451397,EMEA,Web & Tech,T1,2,2250500,0,Low
595728619,NAMERICA,Government,T1,204,108138,0,Low
2123005498,APJ,Manufacturing,T3,70,3424852,1,Low
595721094,NAMERICA,Government,T1,471,480100,0,Low
3334074179,CSB,"Business, Engineering & Consumer Services",T5,2,189056,1,Low
3391782863,APJ,Agriculture,T3,6,81000,0,Low
3552271810,LA,Web & Tech,T5,4504,803034,0,Low
3529546862,CSB,Agriculture,T5,30,134616,0,Low
3078144207,NAMERICA,"Business, Engineering & Consumer Services",T5,165,75216.043,1,Low
3334074821,NAMERICA,"Banking, Financial Services & Insurance",T1,990,3900000,0,Low
2122703094,APJ,Education,T2,25,114071.8,1,Low
595711459,NAMERICA,Government,T5,6,24800,0,Low
3387383632,CSB,Construction & Real Estate,T5,88,5898620,0,Low
595731297,NAMERICA,Education,T3,814,375100.001,1,Low
2686322822,APJ,Government,T1,400,9085600,0,Low
2059131568,EMEA,Agriculture,T5,250,68600,1,Low
3530468584,LA,Agriculture,T5,20,6706020,0,Low
3512156221,CSB,Agriculture,T5,50,838654,0,Low
3581380662,LA,Agriculture,T5,100,5714768,1,Low
3162758814,Greater China,Retail,T1,500,470900,0,Low
2842826776,CSB,Transportation,T5,8489,10920,0,Low
3004575804,EMEA,Manufacturing,T5,56,22333.874,0,Low
2603835635,CSB,"Banking, Financial Services & Insurance",T5,2,25433.219,1,Low
1702762521,EMEA,Retail,T1,12000,37780900,0,Low
2122762382,APJ,"Business, Engineering & Consumer Services",T5,200,53632.642,1,Low
2460714873,NAMERICA,"Business, Engineering & Consumer Services",T5,60,212727,0,Low
1703221640,EMEA,"Business, Engineering & Consumer Services",T3,60,186194.98,0,Low
2347283739,EMEA,Manufacturing,T5,65,27900,0,Low
3583694359,Greater China,Manufacturing,T2,9066,62000,0,Low
595726199,NAMERICA,Education,T1,31964,1452100,0,Low
2224742803,NAMERICA,Manufacturing,T4,92,195670.86,0,Low
2716492612,Greater China,"Banking, Financial Services & Insurance",T1,1255,229859,1,Low
2434649639,NAMERICA,Manufacturing,T4,83,153472.004,1,Low
3527751313,CSB,Retail,T5,4,7894945,0,Low
2037163862,Greater China,"Banking, Financial Services & Insurance",T2,50,9379232.784,1,Low
1938231277,APJ,Manufacturing,T3,1101,153054.638,0,Low
2155421713,LA,"Banking, Financial Services & Insurance",T1,3371,1340000,1,Low
2441250939,CSB,Agriculture,T5,7823,18692,0,Low
1703061825,CSB,Web & Tech,T5,1,21696.364,0,Low
2036970816,Greater China,Manufacturing,T3,1120,42000,1,Low
2468906439,APJ,Education,T2,500,538324.47,1,Low
1703138385,EMEA,Agriculture,T1,1000,969414.54,1,Low
2487954573,APJ,Agriculture,T3,33,50600,0,Low
595719700,NAMERICA,Government,T4,73,165337.001,0,Low
3571402325,CSB,Retail,T5,98,6999941,1,Low
3430457984,NAMERICA,Agriculture,T1,2645,1292200,0,Low
3517220379,EMEA,"Business, Engineering & Consumer Services",T2,39,1511400,1,Low
2224685302,NAMERICA,Energy,T2,40,262900,1,Low
3049162786,EMEA,"Banking, Financial Services & Insurance",T1,109,139987,1,Low
2434936710,NAMERICA,"Business, Engineering & Consumer Services",T1,100,861655.318,1,Low
3329899152,NAMERICA,Healthcare & Life Sciences,T5,19,25339,0,Low
2453748629,LA,Retail,T3,1000,85846.351,0,Low
1939290097,APJ,Healthcare & Life Sciences,T2,4804,2659170,0,Low
931391817,NAMERICA,Manufacturing,T1,14000,27010129.34,1,Low
597546708,NAMERICA,"Business, Engineering & Consumer Services",T1,7,18218351,0,Low
597546197,NAMERICA,Manufacturing,T2,1565,786299.18,1,Low
1939137439,APJ,Manufacturing,T1,2402,578408.754,0,Low
1764601175,LA,Energy,T1,126940,9686800,0,Low
3549060726,CSB,Education,T5,10,70811,1,Low
3333650985,EMEA,Manufacturing,T1,9010,163976,1,Low
3514463512,CSB,Construction & Real Estate,T5,2,33316,1,Low
3423561772,EMEA,Education,T5,18,7676373,0,Low
1702675244,EMEA,Retail,T1,9874,132374,0,Low
798214255,NAMERICA,Healthcare & Life Sciences,T1,1237,6600000,0,Low
2122603859,APJ,Education,T2,452,450000,1,Low
595732844,NAMERICA,Government,T4,330,236205.319,1,Low
1702756364,EMEA,Government,T1,10161,9800000,1,Low
1940275047,APJ,Web & Tech,T5,44,22533,0,Low
931396088,NAMERICA,"Banking, Financial Services & Insurance",T3,200,571088.886,0,Low
2682979150,APJ,Manufacturing,T1,1363,13050,1,Low
1702747688,EMEA,"Banking, Financial Services & Insurance",T1,1125,3075800,0,Low
2036922922,Greater China,Education,T3,98,99060,0,Low
2862648805,APJ,"Banking, Financial Services & Insurance",T1,220,1418402,0,Low
595684348,NAMERICA,Education,T1,1,1056597.575,1,Low
2971538773,EMEA,"Banking, Financial Services & Insurance",T2,1143,4000000,1,Low
3348109212,APJ,Manufacturing,T3,100,107400,1,Low
1705660185,EMEA,Healthcare & Life Sciences,T4,200,90600,1,Low
3584935865,CSB,"Business, Engineering & Consumer Services",T5,2,82758,0,Low
2224793915,NAMERICA,"Business, Engineering & Consumer Services",T4,41,199608.428,0,Low
2123003688,Greater China,"Banking, Financial Services & Insurance",T1,809,284660,1,Low
3400328501,EMEA,Retail,T1,149,2100000,0,Low
2447526414,EMEA,Government,T1,7101,195427,0,Low
1703175995,EMEA,Agriculture,T3,100,55621.974,1,Low
2003439616,NAMERICA,"Business, Engineering & Consumer Services",T2,2,1001300,1,Low
1703066215,CSB,"Business, Engineering & Consumer Services",T5,4,3116341,1,Low
2122697238,APJ,Education,T1,1600,662444,1,Low
3370257355,LA,"Business, Engineering & Consumer Services",T1,4,79574,0,Low
3440797255,Greater China,Web & Tech,T2,1000,65031.961,1,Low
3585390955,CSB,Agriculture,T5,2,40421,0,Low
3586859261,CSB,Agriculture,T5,90,84430,0,Low
2122696014,APJ,"Business, Engineering & Consumer Services",T4,45,113582,1,Low
1702703734,EMEA,Healthcare & Life Sciences,T1,1800,2286600,1,Low
1940295199,CSB,Manufacturing,T3,220,3723077,0,Low
3531715110,EMEA,Retail,T3,13,614700,1,Low
2003433729,NAMERICA,"Banking, Financial Services & Insurance",T1,300,22578900,1,Low
1702686034,EMEA,Manufacturing,T1,1000,4400000,1,Low
3436545746,EMEA,Agriculture,T3,2,252000,0,Low
3558667883,CSB,Web & Tech,T5,24,29671,0,Low
2553494619,CSB,"Banking, Financial Services & Insurance",T5,20,23290.279,0,Low
2623377312,NAMERICA,Healthcare & Life Sciences,T1,400,195074,1,Low
3397838573,Greater China,Manufacturing,T3,5000,47300,1,Low
3361784777,APJ,Agriculture,T5,200,6474291,1,Low
3575799054,LA,Healthcare & Life Sciences,T5,125,5303104,1,Low
2036939201,Greater China,"Telecom, Media & Entertainment",T1,5735,14500000,0,Low
595719994,NAMERICA,Government,T1,16641,38148.4,1,Low
2469801170,APJ,Government,T1,3746,6240451,0,Low
3410640218,CSB,Agriculture,T5,33,3741280,0,Low
2224800074,NAMERICA,Manufacturing,T3,22,325837.802,0,Low
2003427491,NAMERICA,Manufacturing,T4,230,211700,1,Low
2416362435,NAMERICA,Manufacturing,T5,80,70725.403,1,Low
3584940306,EMEA,Agriculture,T5,6515,192441,0,Low
3513303580,CSB,Construction & Real Estate,T3,101,6173448,0,Low
3409214662,CSB,Transportation,T5,7076,8182201,1,Low
2123035953,APJ,"Business, Engineering & Consumer Services",T1,8,1725000,0,Low
2691316728,Greater China,Retail,T1,50,34200,1,Low
3440283669,EMEA,Retail,T1,1133,104034,0,Low
2003444490,NAMERICA,"Telecom, Media & Entertainment",T3,1300,223259,0,Low
595730053,NAMERICA,Education,T2,1600,1545700.01,1,Low
3394778999,CSB,"Business, Engineering & Consumer Services",T5,72,147149.07,0,Low
3351434947,NAMERICA,Web & Tech,T5,1,125270.36,1,Low
2224690901,NAMERICA,"Banking, Financial Services & Insurance",T3,124,430574.607,0,Low
3563441138,CSB,Agriculture,T5,6572,73044,1,Low
3563625071,CSB,Education,T5,10,57065,0,Low
2123014816,APJ,"Banking, Financial Services & Insurance",T1,3665,550000,1,Low
3409218893,CSB,Healthcare & Life Sciences,T5,13,5052378,0,Low
2224746713,NAMERICA,Education,T4,9117,193804.724,1,Low
2122987009,Greater China,Education,T1,5000,1623300,1,Low
2037090550,Greater China,Education,T1,500,1798200,1,Low
2122656750,APJ,Manufacturing,T5,11,6786041,0,Low
1704009568,EMEA,"Telecom, Media & Entertainment",T1,700,3150000,0,Low
2072564262,EMEA,"Business, Engineering & Consumer Services",T1,2,187092,0,Low
1702767303,EMEA,Transportation,T3,6,1414747.66,1,Low
1724002023,LA,"Business, Engineering & Consumer Services",T2,350,183200,1,Low
2434633601,NAMERICA,"Business, Engineering & Consumer Services",T4,12,91097.339,0,Low
1705052901,EMEA,"Business, Engineering & Consumer Services",T1,1000,9713300,0,Low
595689937,NAMERICA,Government,T1,2000,1241000,0,Low
2431125035,APJ,Web & Tech,T2,14,506857.15,0,Low
2003440843,NAMERICA,Construction & Real Estate,T5,650,41880.39,1,Low
1724016577,LA,"Business, Engineering & Consumer Services",T1,50,1077999.77,0,Low
2036916717,Greater China,Construction & Real Estate,T2,2200,85937,0,Low
3007716777,CSB,"Telecom, Media & Entertainment",T5,4,182702,1,Low
3371095375,EMEA,Government,T1,6,153642,1,Low
2483207756,APJ,Manufacturing,T3,114,56336.575,0,Low
3465402077,NAMERICA,Agriculture,T2,5,14509.648,0,Low
3514156386,CSB,Web & Tech,T5,3,41730.187,0,Low
3556435806,Greater China,Web & Tech,T5,200,20000,0,Low
595686496,NAMERICA,Government,T1,15733,15342700,1,Low
3378161371,CSB,"Business, Engineering & Consumer Services",T5,7,39390.634,1,Low
2224792661,NAMERICA,Retail,T3,230,491851,1,Low
2224790688,NAMERICA,"Business, Engineering & Consumer Services",T4,8,174200,1,Low
2538521719,NAMERICA,Energy,T1,202,438513.255,1,Low
3437008692,EMEA,Healthcare & Life Sciences,T5,314,143872,0,Low
3563685079,NAMERICA,"Business, Engineering & Consumer Services",T5,2,16463.891,0,Low
3392482654,APJ,Energy,T1,100,206000,1,Low
3342651517,CSB,Retail,T5,28,55980,1,Low
2860805790,EMEA,"Business, Engineering & Consumer Services",T3,5432,6425446,1,Low
595726070,NAMERICA,Government,T3,175,515899,1,Low
2037184505,Greater China,Manufacturing,T1,50,836721,0,Low
3473315611,CSB,Web & Tech,T5,10,1690831,0,Low
2265871446,NAMERICA,Retail,T1,17700,12526800,1,Low
931387850,NAMERICA,Web & Tech,T2,4974,126385.43,1,Low
3553657281,Greater China,Web & Tech,T5,400,15042.349,1,Low
3495047679,CSB,Manufacturing,T5,11,31555,0,Low
2003428626,NAMERICA,"Telecom, Media & Entertainment",T2,221,750300,1,Low
727392831,NAMERICA,"Business, Engineering & Consumer Services",T3,650,616993,0,Low
2456629563,NAMERICA,Manufacturing,T5,42,26107.002,0,Low
2459352678,APJ,"Business, Engineering & Consumer Services",T3,160,230251.53,1,Low
2224809584,NAMERICA,"Business, Engineering & Consumer Services",T5,25,30709.969,1,Low
2122986128,APJ,Manufacturing,T1,71,24500,1,Low
2441211175,LA,"Banking, Financial Services & Insurance",T2,300,1160000,1,Low
2434627069,NAMERICA,"Banking, Financial Services & Insurance",T4,9,277168,0,Low
3444077122,NAMERICA,Agriculture,T2,56,400000,0,Low
2492826014,APJ,Web & Tech,T5,2812,157650,0,Low
1702674024,EMEA,Agriculture,T3,248,181303.55,0,Low
2005506164,NAMERICA,Transportation,T3,3355,1060372,1,Low
2461591672,LA,"Business, Engineering & Consumer Services",T3,9000,199734.09,1,Low
2621686605,NAMERICA,Manufacturing,T2,14000,1610000,1,Low
2003434353,NAMERICA,"Business, Engineering & Consumer Services",T4,391,319560,0,Low
2637120106,APJ,Web & Tech,T1,219,113000,0,Low
727394098,NAMERICA,Retail,T2,1200,1272433,1,Low
3585228999,EMEA,Retail,T5,6,109678,1,Low
2122645026,APJ,Web & Tech,T1,800,5423871,0,Low
3578653080,CSB,Manufacturing,T5,1,77751,0,Low
2449820495,CSB,"Business, Engineering & Consumer Services",T5,3,8778056,0,Low
3431339475,APJ,Agriculture,T3,30,31352.17,1,Low
3410860223,NAMERICA,Agriculture,T1,680,499448.838,1,Low
3531618191,NAMERICA,"Business, Engineering & Consumer Services",T5,5,8890539,0,Low
868923145,NAMERICA,Healthcare & Life Sciences,T1,1050,3046900,1,Low
3529623702,APJ,Web & Tech,T3,21,17433.903,1,Low
597546932,NAMERICA,Web & Tech,T1,1950,30355300,0,Low
3530667526,CSB,"Business, Engineering & Consumer Services",T5,1,4635789,1,Low
2475351230,NAMERICA,"Banking, Financial Services & Insurance",T3,270,273552.599,1,Low
2224795607,CSB,Retail,T5,28,51077,1,Low
2734336318,NAMERICA,Manufacturing,T2,4542,3938046.586,1,Low
2224806350,NAMERICA,Manufacturing,T5,1,77845,0,Low
3562841050,CSB,Web & Tech,T5,41,149503,1,Low
3586029083,APJ,"Telecom, Media & Entertainment",T5,4,7445344,1,Low
727392241,NAMERICA,"Banking, Financial Services & Insurance",T1,691,6675653.35,1,Low
3586505844,CSB,Agriculture,T5,100,181158,0,Low
1939137216,APJ,Manufacturing,T2,6384,47205994,1,Low
3584007970,Greater China,Agriculture,T5,200,84517,1,Low
1702892421,EMEA,Agriculture,T5,50,71030,0,Low
2035404060,LA,Agriculture,T3,400,10630.57,1,Low
2206425386,EMEA,Government,T1,986,174727,1,Low
2036571313,Greater China,"Telecom, Media & Entertainment",T2,50,57193.893,0,Low
3583124116,Greater China,Agriculture,T5,200,1000000,1,Low
3402160018,LA,"Business, Engineering & Consumer Services",T1,71,174469,0,Low
3340313972,EMEA,Education,T3,4,227718.73,1,Low
2979530877,EMEA,Web & Tech,T5,40,39381.336,1,Low
2330057282,NAMERICA,"Telecom, Media & Entertainment",T1,112,1101800,1,Low
2224745723,NAMERICA,Retail,T2,1252,174104.26,1,Low
2441228172,LA,Manufacturing,T3,150,228500,1,Low
2119446407,CSB,Agriculture,T5,3080,195665,1,Low
3424346041,CSB,Web & Tech,T5,20,139958,0,Low
3386691322,CSB,"Business, Engineering & Consumer Services",T5,1,1390741,1,Low
2342785155,EMEA,"Business, Engineering & Consumer Services",T4,217,200000,1,Low
1724014224,LA,"Banking, Financial Services & Insurance",T2,1375,1300000,0,Low
3483492446,EMEA,Retail,T1,1856,691249.85,0,Low
1708381417,EMEA,Retail,T1,1843,147219,0,Low
2428700363,LA,Government,T3,3065,711874.856,0,Low
931391450,NAMERICA,Government,T1,1600,865346.326,0,Low
3531154709,Greater China,Web & Tech,T3,127,3513501,1,Low
1939274595,APJ,Manufacturing,T1,14632,7169933.76,0,Low
2476539711,NAMERICA,Healthcare & Life Sciences,T4,39,139676,0,Low
2122987633,APJ,Education,T1,1850,205500,1,Low
1724077476,LA,"Business, Engineering & Consumer Services",T1,5000,17744,0,Low
727393860,NAMERICA,Manufacturing,T3,746,1032954,0,Low
3401537026,CSB,"Business, Engineering & Consumer Services",T5,20,79149,0,Low
2434070536,NAMERICA,"Business, Engineering & Consumer Services",T5,75,69071.83,1,Low
2005505323,NAMERICA,Manufacturing,T1,520,1177182,0,Low
2538678586,EMEA,Healthcare & Life Sciences,T1,1181,5593306,0,Low
2452630423,APJ,Government,T2,2268,2736120,1,Low
2001094279,NAMERICA,Energy,T1,30,182436,1,Low
2901155839,APJ,Construction & Real Estate,T3,127,55177.181,1,Low
3369723006,EMEA,Agriculture,T3,7222,152501.33,1,Low
3497762835,CSB,"Business, Engineering & Consumer Services",T5,12,6503493,0,Low
3539231444,APJ,Web & Tech,T1,68,169357.923,1,Low
3547264117,CSB,"Business, Engineering & Consumer Services",T5,3,27677,0,Low
3326140097,NAMERICA,Retail,T5,10677,1659799,0,Low
1702883437,EMEA,Healthcare & Life Sciences,T3,3946,100855,0,Low
595723379,NAMERICA,Government,T2,2800,417696.54,1,Low
3556524587,EMEA,"Business, Engineering & Consumer Services",T3,3355,22483.667,1,Low
1702695818,EMEA,Web & Tech,T1,250,1136990,1,Low
2224808320,NAMERICA,Education,T5,31,84538,1,Low
1702850687,EMEA,Manufacturing,T1,30943,138089,1,Low
3400141180,APJ,"Business, Engineering & Consumer Services",T5,36,61081,1,Low
