acct_id,RPTG_SLS_MGMT_LVL_1,DELL_INDUSTRY_TAXONOMY_L1,ORG_USER_DEFINED_VALUE_113,emp_size,buy_power,decision_maker,category
165,EMEA,Government,T1,4,1011000,1,Low
166,CSB,"Business, Engineering & Consumer Services",T5,25,15145,1,Low
167,NAMERICA,Government,T5,40,5878678,1,Low
168,APJ,"Business, Engineering & Consumer Services",T5,73,82615,0,Low
169,NAMERICA,Agriculture,T5,3750,76193.13,0,Low
170,EMEA,"Banking, Financial Services & Insurance",T3,1,163173.184,1,Low
171,EMEA,"Banking, Financial Services & Insurance",T1,8779,125418,0,Low
172,CSB,Agriculture,T5,30,29142,0,Low
173,EMEA,Web & Tech,T1,2,2250500,0,Low
174,NAMERICA,Government,T1,204,108138,0,Low
175,APJ,Manufacturing,T3,70,3424852,1,Low
176,NAMERICA,Government,T1,471,480100,0,Low
177,CSB,"Business, Engineering & Consumer Services",T5,2,189056,1,Low
178,APJ,Agriculture,T3,6,81000,0,Low
179,LA,Web & Tech,T5,4504,803034,0,Low
180,CSB,Agriculture,T5,30,134616,0,Low
181,NAMERICA,"Business, Engineering & Consumer Services",T5,165,75216.043,1,Low
182,NAMERICA,"Banking, Financial Services & Insurance",T1,990,3900000,0,Low
183,APJ,Education,T2,25,114071.8,1,Low
184,NAMERICA,Government,T5,6,24800,0,Low
185,CSB,Construction & Real Estate,T5,88,5898620,0,Low
186,NAMERICA,Education,T3,814,375100.001,1,Low
187,APJ,Government,T1,400,9085600,0,Low
188,EMEA,Agriculture,T5,250,68600,1,Low
189,LA,Agriculture,T5,20,6706020,0,Low
190,CSB,Agriculture,T5,50,838654,0,Low
191,LA,Agriculture,T5,100,5714768,1,Low
192,Greater China,Retail,T1,500,470900,0,Low
193,CSB,Transportation,T5,8489,10920,0,Low
194,EMEA,Manufacturing,T5,56,22333.874,0,Low
195,CSB,"Banking, Financial Services & Insurance",T5,2,25433.219,1,Low
196,EMEA,Retail,T1,12000,37780900,0,Low
197,APJ,"Business, Engineering & Consumer Services",T5,200,53632.642,1,Low
198,NAMERICA,"Business, Engineering & Consumer Services",T5,60,212727,0,Low
199,EMEA,"Business, Engineering & Consumer Services",T3,60,186194.98,0,Low
200,EMEA,Manufacturing,T5,65,27900,0,Low
201,Greater China,Manufacturing,T2,9066,62000,0,Low
202,NAMERICA,Education,T1,31964,1452100,0,Low
203,NAMERICA,Manufacturing,T4,92,195670.86,0,Low
204,Greater China,"Banking, Financial Services & Insurance",T1,1255,229859,1,Low
205,NAMERICA,Manufacturing,T4,83,153472.004,1,Low
206,CSB,Retail,T5,4,7894945,0,Low
207,Greater China,"Banking, Financial Services & Insurance",T2,50,9379232.784,1,Low
208,APJ,Manufacturing,T3,1101,153054.638,0,Low
209,LA,"Banking, Financial Services & Insurance",T1,3371,1340000,1,Low
210,CSB,Agriculture,T5,7823,18692,0,Low
211,CSB,Web & Tech,T5,1,21696.364,0,Low
212,Greater China,Manufacturing,T3,1120,42000,1,Low
213,APJ,Education,T2,500,538324.47,1,Low
214,EMEA,Agriculture,T1,1000,969414.54,1,Low
215,APJ,Agriculture,T3,33,50600,0,Low
216,NAMERICA,Government,T4,73,165337.001,0,Low
217,CSB,Retail,T5,98,6999941,1,Low
218,NAMERICA,Agriculture,T1,2645,1292200,0,Low
219,EMEA,"Business, Engineering & Consumer Services",T2,39,1511400,1,Low
220,NAMERICA,Energy,T2,40,262900,1,Low
221,EMEA,"Banking, Financial Services & Insurance",T1,109,139987,1,Low
222,NAMERICA,"Business, Engineering & Consumer Services",T1,100,861655.318,1,Low
223,NAMERICA,Healthcare & Life Sciences,T5,19,25339,0,Low
224,LA,Retail,T3,1000,85846.351,0,Low
225,APJ,Healthcare & Life Sciences,T2,4804,2659170,0,Low
226,NAMERICA,Manufacturing,T1,14000,27010129.34,1,Low
227,NAMERICA,"Business, Engineering & Consumer Services",T1,7,18218351,0,Low
228,NAMERICA,Manufacturing,T2,1565,786299.18,1,Low
229,APJ,Manufacturing,T1,2402,578408.754,0,Low
230,LA,Energy,T1,126940,9686800,0,Low
231,CSB,Education,T5,10,70811,1,Low
232,EMEA,Manufacturing,T1,9010,163976,1,Low
233,CSB,Construction & Real Estate,T5,2,33316,1,Low
234,EMEA,Education,T5,18,7676373,0,Low
235,EMEA,Retail,T1,9874,132374,0,Low
236,NAMERICA,Healthcare & Life Sciences,T1,1237,6600000,0,Low
237,APJ,Education,T2,452,450000,1,Low
238,NAMERICA,Government,T4,330,236205.319,1,Low
239,EMEA,Government,T1,10161,9800000,1,Low
240,APJ,Web & Tech,T5,44,22533,0,Low
241,NAMERICA,"Banking, Financial Services & Insurance",T3,200,571088.886,0,Low
242,APJ,Manufacturing,T1,1363,13050,1,Low
243,EMEA,"Banking, Financial Services & Insurance",T1,1125,3075800,0,Low
244,Greater China,Education,T3,98,99060,0,Low
245,APJ,"Banking, Financial Services & Insurance",T1,220,1418402,0,Low
246,NAMERICA,Education,T1,1,1056597.575,1,Low
247,EMEA,"Banking, Financial Services & Insurance",T2,1143,4000000,1,Low
248,APJ,Manufacturing,T3,100,107400,1,Low
249,EMEA,Healthcare & Life Sciences,T4,200,90600,1,Low
250,CSB,"Business, Engineering & Consumer Services",T5,2,82758,0,Low
251,NAMERICA,"Business, Engineering & Consumer Services",T4,41,199608.428,0,Low
252,Greater China,"Banking, Financial Services & Insurance",T1,809,284660,1,Low
253,EMEA,Retail,T1,149,2100000,0,Low
254,EMEA,Government,T1,7101,195427,0,Low
255,EMEA,Agriculture,T3,100,55621.974,1,Low
256,NAMERICA,"Business, Engineering & Consumer Services",T2,2,1001300,1,Low
257,CSB,"Business, Engineering & Consumer Services",T5,4,3116341,1,Low
258,APJ,Education,T1,1600,662444,1,Low
259,LA,"Business, Engineering & Consumer Services",T1,4,79574,0,Low
260,Greater China,Web & Tech,T2,1000,65031.961,1,Low
261,CSB,Agriculture,T5,2,40421,0,Low
262,CSB,Agriculture,T5,90,84430,0,Low
263,APJ,"Business, Engineering & Consumer Services",T4,45,113582,1,Low
264,EMEA,Healthcare & Life Sciences,T1,1800,2286600,1,Low
265,CSB,Manufacturing,T3,220,3723077,0,Low
266,EMEA,Retail,T3,13,614700,1,Low
267,NAMERICA,"Banking, Financial Services & Insurance",T1,300,22578900,1,Low
268,EMEA,Manufacturing,T1,1000,4400000,1,Low
269,EMEA,Agriculture,T3,2,252000,0,Low
270,CSB,Web & Tech,T5,24,29671,0,Low
271,CSB,"Banking, Financial Services & Insurance",T5,20,23290.279,0,Low
272,NAMERICA,Healthcare & Life Sciences,T1,400,195074,1,Low
273,Greater China,Manufacturing,T3,5000,47300,1,Low
274,APJ,Agriculture,T5,200,6474291,1,Low
275,LA,Healthcare & Life Sciences,T5,125,5303104,1,Low
276,Greater China,"Telecom, Media & Entertainment",T1,5735,14500000,0,Low
277,NAMERICA,Government,T1,16641,38148.4,1,Low
278,APJ,Government,T1,3746,6240451,0,Low
279,CSB,Agriculture,T5,33,3741280,0,Low
280,NAMERICA,Manufacturing,T3,22,325837.802,0,Low
281,NAMERICA,Manufacturing,T4,230,211700,1,Low
282,NAMERICA,Manufacturing,T5,80,70725.403,1,Low
283,EMEA,Agriculture,T5,6515,192441,0,Low
284,CSB,Construction & Real Estate,T3,101,6173448,0,Low
285,CSB,Transportation,T5,7076,8182201,1,Low
286,APJ,"Business, Engineering & Consumer Services",T1,8,1725000,0,Low
287,Greater China,Retail,T1,50,34200,1,Low
288,EMEA,Retail,T1,1133,104034,0,Low
289,NAMERICA,"Telecom, Media & Entertainment",T3,1300,223259,0,Low
290,NAMERICA,Education,T2,1600,1545700.01,1,Low
291,CSB,"Business, Engineering & Consumer Services",T5,72,147149.07,0,Low
292,NAMERICA,Web & Tech,T5,1,125270.36,1,Low
293,NAMERICA,"Banking, Financial Services & Insurance",T3,124,430574.607,0,Low
294,CSB,Agriculture,T5,6572,73044,1,Low
295,CSB,Education,T5,10,57065,0,Low
296,APJ,"Banking, Financial Services & Insurance",T1,3665,550000,1,Low
297,CSB,Healthcare & Life Sciences,T5,13,5052378,0,Low
298,NAMERICA,Education,T4,9117,193804.724,1,Low
299,Greater China,Education,T1,5000,1623300,1,Low
300,Greater China,Education,T1,500,1798200,1,Low
301,APJ,Manufacturing,T5,11,6786041,0,Low
302,EMEA,"Telecom, Media & Entertainment",T1,700,3150000,0,Low
303,EMEA,"Business, Engineering & Consumer Services",T1,2,187092,0,Low
304,EMEA,Transportation,T3,6,1414747.66,1,Low
305,LA,"Business, Engineering & Consumer Services",T2,350,183200,1,Low
306,NAMERICA,"Business, Engineering & Consumer Services",T4,12,91097.339,0,Low
307,EMEA,"Business, Engineering & Consumer Services",T1,1000,9713300,0,Low
308,NAMERICA,Government,T1,2000,1241000,0,Low
309,APJ,Web & Tech,T2,14,506857.15,0,Low
310,NAMERICA,Construction & Real Estate,T5,650,41880.39,1,Low
311,LA,"Business, Engineering & Consumer Services",T1,50,1077999.77,0,Low
312,Greater China,Construction & Real Estate,T2,2200,85937,0,Low
313,CSB,"Telecom, Media & Entertainment",T5,4,182702,1,Low
314,EMEA,Government,T1,6,153642,1,Low
315,APJ,Manufacturing,T3,114,56336.575,0,Low
316,NAMERICA,Agriculture,T2,5,14509.648,0,Low
317,CSB,Web & Tech,T5,3,41730.187,0,Low
318,Greater China,Web & Tech,T5,200,20000,0,Low
319,NAMERICA,Government,T1,15733,15342700,1,Low
320,CSB,"Business, Engineering & Consumer Services",T5,7,39390.634,1,Low
321,NAMERICA,Retail,T3,230,491851,1,Low
322,NAMERICA,"Business, Engineering & Consumer Services",T4,8,174200,1,Low
323,NAMERICA,Energy,T1,202,438513.255,1,Low
324,EMEA,Healthcare & Life Sciences,T5,314,143872,0,Low
325,NAMERICA,"Business, Engineering & Consumer Services",T5,2,16463.891,0,Low
326,APJ,Energy,T1,100,206000,1,Low
327,CSB,Retail,T5,28,55980,1,Low
328,EMEA,"Business, Engineering & Consumer Services",T3,5432,6425446,1,Low
329,NAMERICA,Government,T3,175,515899,1,Low
330,Greater China,Manufacturing,T1,50,836721,0,Low
331,CSB,Web & Tech,T5,10,1690831,0,Low
332,NAMERICA,Retail,T1,17700,12526800,1,Low
333,NAMERICA,Web & Tech,T2,4974,126385.43,1,Low
334,Greater China,Web & Tech,T5,400,15042.349,1,Low
335,CSB,Manufacturing,T5,11,31555,0,Low
336,NAMERICA,"Telecom, Media & Entertainment",T2,221,750300,1,Low
337,NAMERICA,"Business, Engineering & Consumer Services",T3,650,616993,0,Low
338,NAMERICA,Manufacturing,T5,42,26107.002,0,Low
339,APJ,"Business, Engineering & Consumer Services",T3,160,230251.53,1,Low
340,NAMERICA,"Business, Engineering & Consumer Services",T5,25,30709.969,1,Low
341,APJ,Manufacturing,T1,71,24500,1,Low
342,LA,"Banking, Financial Services & Insurance",T2,300,1160000,1,Low
343,NAMERICA,"Banking, Financial Services & Insurance",T4,9,277168,0,Low
344,NAMERICA,Agriculture,T2,56,400000,0,Low
345,APJ,Web & Tech,T5,2812,157650,0,Low
346,EMEA,Agriculture,T3,248,181303.55,0,Low
347,NAMERICA,Transportation,T3,3355,1060372,1,Low
348,LA,"Business, Engineering & Consumer Services",T3,9000,199734.09,1,Low
349,NAMERICA,Manufacturing,T2,14000,1610000,1,Low
350,NAMERICA,"Business, Engineering & Consumer Services",T4,391,319560,0,Low
351,APJ,Web & Tech,T1,219,113000,0,Low
352,NAMERICA,Retail,T2,1200,1272433,1,Low
353,EMEA,Retail,T5,6,109678,1,Low
354,APJ,Web & Tech,T1,800,5423871,0,Low
355,CSB,Manufacturing,T5,1,77751,0,Low
356,CSB,"Business, Engineering & Consumer Services",T5,3,8778056,0,Low
357,APJ,Agriculture,T3,30,31352.17,1,Low
358,NAMERICA,Agriculture,T1,680,499448.838,1,Low
359,NAMERICA,"Business, Engineering & Consumer Services",T5,5,8890539,0,Low
360,NAMERICA,Healthcare & Life Sciences,T1,1050,3046900,1,Low
361,APJ,Web & Tech,T3,21,17433.903,1,Low
362,NAMERICA,Web & Tech,T1,1950,30355300,0,Low
363,CSB,"Business, Engineering & Consumer Services",T5,1,4635789,1,Low
364,NAMERICA,"Banking, Financial Services & Insurance",T3,270,273552.599,1,Low
365,CSB,Retail,T5,28,51077,1,Low
366,NAMERICA,Manufacturing,T2,4542,3938046.586,1,Low
367,NAMERICA,Manufacturing,T5,1,77845,0,Low
368,CSB,Web & Tech,T5,41,149503,1,Low
369,APJ,"Telecom, Media & Entertainment",T5,4,7445344,1,Low
370,NAMERICA,"Banking, Financial Services & Insurance",T1,691,6675653.35,1,Low
371,CSB,Agriculture,T5,100,181158,0,Low
372,APJ,Manufacturing,T2,6384,47205994,1,Low
373,Greater China,Agriculture,T5,200,84517,1,Low
374,EMEA,Agriculture,T5,50,71030,0,Low
375,LA,Agriculture,T3,400,10630.57,1,Low
376,EMEA,Government,T1,986,174727,1,Low
377,Greater China,"Telecom, Media & Entertainment",T2,50,57193.893,0,Low
378,Greater China,Agriculture,T5,200,1000000,1,Low
379,LA,"Business, Engineering & Consumer Services",T1,71,174469,0,Low
380,EMEA,Education,T3,4,227718.73,1,Low
381,EMEA,Web & Tech,T5,40,39381.336,1,Low
382,NAMERICA,"Telecom, Media & Entertainment",T1,112,1101800,1,Low
383,NAMERICA,Retail,T2,1252,174104.26,1,Low
384,LA,Manufacturing,T3,150,228500,1,Low
385,CSB,Agriculture,T5,3080,195665,1,Low
386,CSB,Web & Tech,T5,20,139958,0,Low
387,CSB,"Business, Engineering & Consumer Services",T5,1,1390741,1,Low
388,EMEA,"Business, Engineering & Consumer Services",T4,217,200000,1,Low
389,LA,"Banking, Financial Services & Insurance",T2,1375,1300000,0,Low
390,EMEA,Retail,T1,1856,691249.85,0,Low
391,EMEA,Retail,T1,1843,147219,0,Low
392,LA,Government,T3,3065,711874.856,0,Low
393,NAMERICA,Government,T1,1600,865346.326,0,Low
394,Greater China,Web & Tech,T3,127,3513501,1,Low
395,APJ,Manufacturing,T1,14632,7169933.76,0,Low
396,NAMERICA,Healthcare & Life Sciences,T4,39,139676,0,Low
397,APJ,Education,T1,1850,205500,1,Low
398,LA,"Business, Engineering & Consumer Services",T1,5000,17744,0,Low
399,NAMERICA,Manufacturing,T3,746,1032954,0,Low
400,CSB,"Business, Engineering & Consumer Services",T5,20,79149,0,Low
401,NAMERICA,"Business, Engineering & Consumer Services",T5,75,69071.83,1,Low
402,NAMERICA,Manufacturing,T1,520,1177182,0,Low
403,EMEA,Healthcare & Life Sciences,T1,1181,5593306,0,Low
404,APJ,Government,T2,2268,2736120,1,Low
405,NAMERICA,Energy,T1,30,182436,1,Low
406,APJ,Construction & Real Estate,T3,127,55177.181,1,Low
407,EMEA,Agriculture,T3,7222,152501.33,1,Low
408,CSB,"Business, Engineering & Consumer Services",T5,12,6503493,0,Low
409,APJ,Web & Tech,T1,68,169357.923,1,Low
410,CSB,"Business, Engineering & Consumer Services",T5,3,27677,0,Low
411,NAMERICA,Retail,T5,10677,1659799,0,Low
412,EMEA,Healthcare & Life Sciences,T3,3946,100855,0,Low
413,NAMERICA,Government,T2,2800,417696.54,1,Low
414,EMEA,"Business, Engineering & Consumer Services",T3,3355,22483.667,1,Low
415,EMEA,Web & Tech,T1,250,1136990,1,Low
416,NAMERICA,Education,T5,31,84538,1,Low
417,EMEA,Manufacturing,T1,30943,138089,1,Low
418,APJ,"Business, Engineering & Consumer Services",T5,36,61081,1,Low
419,Greater China,Energy,T5,27,51940,0,Low
420,EMEA,Manufacturing,T1,440,97623,0,Low
421,EMEA,"Business, Engineering & Consumer Services",T3,170,645000,0,Low
422,CSB,Retail,T5,30,5030593,1,Low
423,EMEA,"Business, Engineering & Consumer Services",T1,2228,198279,0,Low
424,APJ,Government,T2,4973,2133999,0,Low
425,CSB,"Business, Engineering & Consumer Services",T5,12,26192,1,Low
426,LA,Agriculture,T3,80,20963.957,0,Low
427,Greater China,Agriculture,T5,115,80879,0,Low
428,EMEA,"Banking, Financial Services & Insurance",T1,1000,24000000,1,Low
429,EMEA,"Banking, Financial Services & Insurance",T1,4603,1000000,1,Low
430,NAMERICA,Manufacturing,T1,2371,177000000,1,Low
431,APJ,"Business, Engineering & Consumer Services",T2,54500,500300,0,Low
432,APJ,"Business, Engineering & Consumer Services",T3,6,14376.904,1,Low
433,CSB,"Banking, Financial Services & Insurance",T5,43,11414,0,Low
434,Greater China,Agriculture,T5,145,48551,1,Low
435,LA,Manufacturing,T5,18,2278968,1,Low
436,CSB,Agriculture,T5,20,33889,0,Low
437,EMEA,Retail,T1,180,647400,0,Low
438,EMEA,Education,T1,10,87109.573,1,Low
439,CSB,"Business, Engineering & Consumer Services",T5,14,27655.843,0,Low
440,CSB,Web & Tech,T5,21,24277,0,Low
441,CSB,Manufacturing,T5,9,52988,1,Low
442,NAMERICA,Web & Tech,T5,20,78760.924,1,Low
443,CSB,Agriculture,T5,231,59928,1,Low
444,NAMERICA,"Business, Engineering & Consumer Services",T4,166,176321.503,1,Low
445,CSB,Manufacturing,T5,55,5990640,1,Low
446,LA,Government,T3,400,1413000,0,Low
447,NAMERICA,"Banking, Financial Services & Insurance",T5,110,120926.384,1,Low
448,EMEA,"Business, Engineering & Consumer Services",T5,3,95276,0,Low
449,NAMERICA,Manufacturing,T5,85,85134,1,Low
450,APJ,"Banking, Financial Services & Insurance",T5,183,6653870,0,Low
451,NAMERICA,"Business, Engineering & Consumer Services",T1,2700,1536792.661,1,Low
452,NAMERICA,"Business, Engineering & Consumer Services",T5,21,57784.851,0,Low
453,LA,Manufacturing,T3,3000,751400,0,Low
454,NAMERICA,Retail,T1,35,721463.557,1,Low
455,Greater China,"Telecom, Media & Entertainment",T1,4100,867552.387,0,Low
456,EMEA,Government,T2,500,1550000,1,Low
457,NAMERICA,Healthcare & Life Sciences,T1,5083,19259500,1,Low
458,NAMERICA,Transportation,T1,2,4343770.665,1,Low
